"path","role_by_location","title","declared_status","authority_review"
"docs/adr/0001-public-carrier-private-services.md","decision-record","Public carrier with application-controlled services","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0002-greenfield-main.md","decision-record","Restart main as a greenfield research workspace","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0003-bounded-service-instance-credentials.md","decision-record","Delegate bounded credentials to online Service Instances","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0004-authenticated-epochs-and-separated-control-roots.md","decision-record","Authenticate shared epochs and separate Control Plane roots","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0005-route-domains-and-bounded-entry-exposure.md","decision-record","Separate hidden Route legs by domain and bound Entry exposure","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0006-separate-release-safety-from-protocol-transition.md","decision-record","Separate release safety from protocol transition","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0007-separate-carrier-privacy-from-application-egress.md","decision-record","Separate carrier privacy from Application networking","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0008-stage-research-before-public-network.md","decision-record","Stage route research before public-network implementation","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0009-go-project-foundation.md","decision-record","Adopt Go as the maintained project foundation","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0010-modular-monorepository.md","decision-record","Keep a modular first-party monorepository","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0011-separate-unit-e2e-and-live-tests.md","decision-record","Separate unit, end-to-end, and live tests","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0012-select-webtunnel-for-h3-camouflage.md","decision-record","Select standalone WebTunnel for the H3 Camouflage Adapter","status: superseded","superseded ADR provenance; no standalone current authority"
"docs/adr/0013-stage-6-cryptographic-suite.md","decision-record","ADR-0013 — Withdraw the initial Stage 6 cryptographic suite","status: withdrawn","withdrawn ADR; no current authority"
"docs/adr/0014-private-naming-ohttp.md","decision-record","ADR-0014 — Authenticate and hide Stage 6 private naming exchanges","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0015-separate-release-decision-from-local-activation.md","decision-record","ADR-0015 — Separate release decision from versioned local activation","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0016-bind-and-isolate-launcher-born-application-principals.md","decision-record","ADR-0016 — Bind and isolate launcher-born Application Principals","status: superseded","superseded ADR provenance; no standalone current authority"
"docs/adr/0017-authenticated-name-claim-ordering.md","decision-record","ADR-0017 — Order root-name claims through authenticated epoch input","status: accepted","accepted ADR authority when linked by current owner"
"docs/adr/0018-threshold-recovery-multisignatures.md","decision-record","ADR-0018 — Authorize recovery with bounded individual signatures","status: accepted","accepted ADR authority when linked by current owner"
