"package","c0_relation","target_treatment","decision_boundary"
"cmd/ardents","mixed-command","compose-and-narrow","Portable and protected text command paths coexist; installed handoff F-27"
"cmd/ardents-control","operator","retain-current-commands","Alpha inspection and closed-profile preparation are offline authority boundaries"
"cmd/ardents-custody","provisioning","retain","Separate Service and admission Authority operations"
"cmd/ardents-node","runtime","retain-command-adapter","State-selected closed Node duties; old duty verbs refuse"
"cmd/ardents-qualification","verification","retain-separate-verdict","Installed stream qualification is not an ordinary text command"
"cmd/ardents-stream-qualification","verification","retain-separate-verdict","Bounded stream qualification adapter"
"cmd/ardents-text","runtime","retain-installed-application","Trusted command and confined worker share artifact but have different launch authority"
"internal/alphacontrol","operator","retain-reader","Non-authorizing catalog and component disclosure floor"
"internal/alphacontrol/inspection","operator","retain-reader","Enrollment-pinned inspection composes distinct catalog Release and State readers"
"internal/application/broker","runtime","retain","Volatile local capability admission and session accounting"
"internal/application/interfacev1/administration","runtime","retain","Current Administration contract distinct from Connection version"
"internal/application/interfacev2/connection","runtime","retain","Sole AAI3 accepting Connection owner; old AAI2 magic only refused"
"internal/application/streamqualification","verification","retain-separate-workload","Verification code is statically included through Endpoint F-55"
"internal/application/textdocument","runtime","retain","Fixed text grammar shared by trusted UI and confined worker"
"internal/architecture","test-gate","retain-test-owner","Architecture checks are not runtime composition"
"internal/contributor","retirement-operator","retain-retirement-only","Old install can diagnose drain withdraw and remove but cannot start F-56"
"internal/custody","provisioning","retain","Authority Vault remains separate from Endpoint and Service Instance"
"internal/diagnostics/timeline","operator","retain-read-only","Local event projection has no authority or durable observation root"
"internal/endpoint","mixed-runtime","deepen-after-adjacent-slice","Admission composition mixes publication client path worker and qualification; adjacent task owns edits"
"internal/endpoint/descriptorhistory","runtime","retain","Endpoint-local proof and revision memory distinct from Node Reachability Store"
"internal/endpoint/durableroot","runtime","retain-primitive","Owner lease and directory sync serve Endpoint token journal"
"internal/endpoint/permissionfile","runtime","retain","Exact local permission-file handover"
"internal/endpoint/portable","mixed-operator","integrate-or-retire-old-start","Portable first execution does not launch protected system unit F-27"
"internal/endpoint/replacement","operator","integrate-with-supported-unit","Release-authorized executable replacement currently controls user unit"
"internal/endpoint/tokenjournal","runtime","retain","Participant token attempt and retry state not Node receiving spend"
"internal/enrollment","provisioning","select-command-version","General verifier reads v1-v3; protected first-run requires v3 F-47"
"internal/entry","mixed-runtime","retain-closed-set-review-invite","Closed Entry set is selected; older Invite root/writer has separate disposition F-08"
"internal/naming","retained-local-command","keep-outside-c0-runtime","Name encode has a command caller but protected text uses explicit Target Link"
"internal/naming/alpha","retained-evidence","decide-reader-floor","Alpha corpus reader and floor survive retired exchange ADR-0091"
"internal/naming/namespace","retained-uncomposed","decision-under-adr-0090","No command composes the whole Namespace transition F-51"
"internal/naming/namespace/admission","retained-uncomposed","decision-under-adr-0090","Namespace admission mechanism has no selected C0 journey"
"internal/naming/namespace/authority","retained-uncomposed","decision-under-adr-0090","Namespace authority mechanism has no selected C0 journey"
"internal/naming/namespace/claim","retained-uncomposed","decision-under-adr-0090","Namespace claim mechanism has no selected C0 journey"
"internal/naming/namespace/epoch","retained-uncomposed","decide-root-migration-or-refusal","Epoch Store has no command opener but owns leased generations and pending journal F-51"
"internal/naming/namespace/record","retained-uncomposed","decide-old-record-reader","Name v3 record reader has migration obligation F-48"
"internal/naming/namespace/recovery","retained-uncomposed","decision-under-adr-0090","Namespace recovery proofs have no selected C0 journey"
"internal/naming/resolution","retained-uncomposed","retire-after-adr-0090-supersession","No production importer or durable root; command retirement fixture is its remaining composition F-51"
"internal/network/duty","mixed-runtime","retain-root-decide-old-field","Current local conflict duty shares v1 root with unused Grant spends F-53"
"internal/network/source","runtime","retain","Finite authenticated Source wave and serving transport"
"internal/network/state","runtime","retain-one-authority-root","Current/pending/conflict decision and closed profile; AREP intake F-50"
"internal/node","runtime","deepen-duty-owners","Five closed duties need exact accepted-child and root finalization F-17"
"internal/qualification","verification","retain-separate-verdict","Qualification state is not an ordinary Application capability F-55"
"internal/release","provisioning","retain","Independent Release authorization and anti-rollback floor"
"internal/resource","runtime","retain","Resource guard and shared Hosting period support Node/Endpoint limits"
"internal/route","mixed-runtime","separate-live-from-v2","Carrier client path protected channels and uncalled v2 execution share root F-52"
"internal/route/ardp","runtime","retain","Selected closed Route frame grammar"
"internal/route/capsule","runtime","retain","Private Introduction capsule grammar"
"internal/route/credential","mixed-runtime","separate-offline-from-live-adapter","Issuer root and offline grammar coexist with three imports back to Route F-28/F-30"
"internal/route/replay","runtime","retain","Durable receiving token spend and registration floors"
"internal/route/terminal","runtime","retain-boundary-review","Wire Descriptor bound imports Reachability F-29"
"internal/service/connection","runtime","retain-fix-close-result","Logical authenticated stream; replacement close result gap F-23"
"internal/service/instance","mixed-runtime","retain-root-decide-old-key","Active Instance root still writes old Introduction key F-42"
"internal/service/publication","mixed-runtime","retain-retire-old-instruction","Current publication plus uncalled SealedIntroduction v1 instruction F-42"
"internal/service/reachability","mixed-runtime","retain-store-decide-old-floor","v3 private Store restores old records and retains unused old writer F-22/F-32"
"internal/service/targetlink","runtime","retain","Explicit Target Link interpretation for Reader"
